,Commodity,Util,Value,Period,Group,Unit,Short Description,State,Year
0,APPLES,ALL UTILIZATION PRACTICES,"40,000",YEAR,FRUIT & TREE NUTS,ACRES,ACRES BEARING,NY,2017
1,APPLES,ALL UTILIZATION PRACTICES,20,WEEK #29,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, MEASURED IN PCT EXCELLENT",NY,2017
2,APPLES,ALL UTILIZATION PRACTICES,20,WEEK #30,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, MEASURED IN PCT EXCELLENT",NY,2017
3,APPLES,ALL UTILIZATION PRACTICES,19,WEEK #31,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, MEASURED IN PCT EXCELLENT",NY,2017
4,APPLES,ALL UTILIZATION PRACTICES,21,WEEK #32,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, MEASURED IN PCT EXCELLENT",NY,2017
5,APPLES,ALL UTILIZATION PRACTICES,26,WEEK #33,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, MEASURED IN PCT EXCELLENT",NY,2017
6,APPLES,ALL UTILIZATION PRACTICES,19,WEEK #34,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, MEASURED IN PCT EXCELLENT",NY,2017
7,APPLES,ALL UTILIZATION PRACTICES,28,WEEK #35,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, MEASURED IN PCT EXCELLENT",NY,2017
8,APPLES,ALL UTILIZATION PRACTICES,20,WEEK #36,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, MEASURED IN PCT EXCELLENT",NY,2017
9,APPLES,ALL UTILIZATION PRACTICES,19,WEEK #37,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, MEASURED IN PCT EXCELLENT",NY,2017
10,APPLES,ALL UTILIZATION PRACTICES,21,WEEK #38,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, MEASURED IN PCT EXCELLENT",NY,2017
11,APPLES,ALL UTILIZATION PRACTICES,39,WEEK #29,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, MEASURED IN PCT FAIR",NY,2017
12,APPLES,ALL UTILIZATION PRACTICES,34,WEEK #30,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, MEASURED IN PCT FAIR",NY,2017
13,APPLES,ALL UTILIZATION PRACTICES,39,WEEK #31,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, MEASURED IN PCT FAIR",NY,2017
14,APPLES,ALL UTILIZATION PRACTICES,37,WEEK #32,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, MEASURED IN PCT FAIR",NY,2017
15,APPLES,ALL UTILIZATION PRACTICES,40,WEEK #33,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, MEASURED IN PCT FAIR",NY,2017
16,APPLES,ALL UTILIZATION PRACTICES,36,WEEK #34,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, MEASURED IN PCT FAIR",NY,2017
17,APPLES,ALL UTILIZATION PRACTICES,31,WEEK #35,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, MEASURED IN PCT FAIR",NY,2017
18,APPLES,ALL UTILIZATION PRACTICES,35,WEEK #36,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, MEASURED IN PCT FAIR",NY,2017
19,APPLES,ALL UTILIZATION PRACTICES,20,WEEK #37,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, MEASURED IN PCT FAIR",NY,2017
20,APPLES,ALL UTILIZATION PRACTICES,11,WEEK #38,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, MEASURED IN PCT FAIR",NY,2017
21,APPLES,ALL UTILIZATION PRACTICES,25,WEEK #29,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, MEASURED IN PCT GOOD",NY,2017
22,APPLES,ALL UTILIZATION PRACTICES,34,WEEK #30,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, MEASURED IN PCT GOOD",NY,2017
23,APPLES,ALL UTILIZATION PRACTICES,23,WEEK #31,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, MEASURED IN PCT GOOD",NY,2017
24,APPLES,ALL UTILIZATION PRACTICES,26,WEEK #32,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, MEASURED IN PCT GOOD",NY,2017
25,APPLES,ALL UTILIZATION PRACTICES,23,WEEK #33,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, MEASURED IN PCT GOOD",NY,2017
26,APPLES,ALL UTILIZATION PRACTICES,30,WEEK #34,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, MEASURED IN PCT GOOD",NY,2017
27,APPLES,ALL UTILIZATION PRACTICES,31,WEEK #35,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, MEASURED IN PCT GOOD",NY,2017
28,APPLES,ALL UTILIZATION PRACTICES,29,WEEK #36,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, MEASURED IN PCT GOOD",NY,2017
29,APPLES,ALL UTILIZATION PRACTICES,46,WEEK #37,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, MEASURED IN PCT GOOD",NY,2017
30,APPLES,ALL UTILIZATION PRACTICES,55,WEEK #38,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, MEASURED IN PCT GOOD",NY,2017
31,APPLES,ALL UTILIZATION PRACTICES,15,WEEK #29,FRUIT & TREE NUTS,PCT POOR,"CONDITION, MEASURED IN PCT POOR",NY,2017
32,APPLES,ALL UTILIZATION PRACTICES,12,WEEK #30,FRUIT & TREE NUTS,PCT POOR,"CONDITION, MEASURED IN PCT POOR",NY,2017
33,APPLES,ALL UTILIZATION PRACTICES,19,WEEK #31,FRUIT & TREE NUTS,PCT POOR,"CONDITION, MEASURED IN PCT POOR",NY,2017
34,APPLES,ALL UTILIZATION PRACTICES,16,WEEK #32,FRUIT & TREE NUTS,PCT POOR,"CONDITION, MEASURED IN PCT POOR",NY,2017
35,APPLES,ALL UTILIZATION PRACTICES,11,WEEK #33,FRUIT & TREE NUTS,PCT POOR,"CONDITION, MEASURED IN PCT POOR",NY,2017
36,APPLES,ALL UTILIZATION PRACTICES,15,WEEK #34,FRUIT & TREE NUTS,PCT POOR,"CONDITION, MEASURED IN PCT POOR",NY,2017
37,APPLES,ALL UTILIZATION PRACTICES,10,WEEK #35,FRUIT & TREE NUTS,PCT POOR,"CONDITION, MEASURED IN PCT POOR",NY,2017
38,APPLES,ALL UTILIZATION PRACTICES,16,WEEK #36,FRUIT & TREE NUTS,PCT POOR,"CONDITION, MEASURED IN PCT POOR",NY,2017
39,APPLES,ALL UTILIZATION PRACTICES,14,WEEK #37,FRUIT & TREE NUTS,PCT POOR,"CONDITION, MEASURED IN PCT POOR",NY,2017
40,APPLES,ALL UTILIZATION PRACTICES,13,WEEK #38,FRUIT & TREE NUTS,PCT POOR,"CONDITION, MEASURED IN PCT POOR",NY,2017
41,APPLES,ALL UTILIZATION PRACTICES,1,WEEK #29,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, MEASURED IN PCT VERY POOR",NY,2017
42,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #30,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, MEASURED IN PCT VERY POOR",NY,2017
