FARMING_TYPE,COMMODITY_TYPE,COMMODITY,VARIETY,UNIT,STORES,PRICE_LOW,PRICE_HIGH,WTD AVG
CONVENTIONAL,FRUIT,APPLES,BRAEBURN,per pound,7,1.99,1.99,1.99
CONVENTIONAL,FRUIT,APPLES,FUJI,per pound,9,0.69,0.69,0.69
CONVENTIONAL,FRUIT,APPLES,GALA,per pound,11,0.98,1.49,1.21
CONVENTIONAL,FRUIT,APPLES,GOLDEN DELICIOUS,5 lb bag,13,2.99,2.99,2.99
CONVENTIONAL,FRUIT,APPLES,GRANNY SMITH,5 lb bag,13,2.99,2.99,2.99
CONVENTIONAL,FRUIT,APPLES,HONEYCRISP,per pound,110,1.49,2.99,2.02
CONVENTIONAL,FRUIT,APPLES,JONAGOLD,per pound,5,1.49,1.49,1.49
CONVENTIONAL,FRUIT,APPLES,MCINTOSH,3 lb bag,70,3,3,3
CONVENTIONAL,FRUIT,APPLES,MCINTOSH,per pound,18,1.27,1.27,1.27
CONVENTIONAL,FRUIT,APPLES,RED DELICIOUS,5 lb bag,13,2.99,2.99,2.99
CONVENTIONAL,FRUIT,APPLES,RED DELICIOUS,per pound,5,1.49,1.49,1.49
CONVENTIONAL,FRUIT,APPLES,ROME,per pound,18,1.27,1.27,1.27
CONVENTIONAL,FRUIT,APPLES,,,,,,
CONVENTIONAL,FRUIT,CLEMENTINES,,3 lb bag,943,2.88,3.99,3.27
CONVENTIONAL,FRUIT,GRAPEFRUIT,RED,5 lb bag,4,2.5,2.5,2.5
CONVENTIONAL,FRUIT,GRAPES,BLACK SEEDLESS,per pound,331,1.99,2.49,2.47
CONVENTIONAL,FRUIT,GRAPES,RED SEEDLESS,per pound,331,1.99,2.49,2.47
CONVENTIONAL,FRUIT,GRAPES,WHITE SEEDLESS TYPE,per pound,331,1.99,2.49,2.47
CONVENTIONAL,FRUIT,MISC CITRUS,SATSUMA,per pound,4,1.99,1.99,1.99
CONVENTIONAL,FRUIT,ORANGES,NAVEL,per pound,650,0.98,1.99,1.03
CONVENTIONAL,FRUIT,PEARS,BARTLETT,per pound,17,1.28,1.49,1.42
CONVENTIONAL,FRUIT,PEARS,BOSC,per pound,11,1.49,1.49,1.49
CONVENTIONAL,FRUIT,PEARS,D'ANJOU,per pound,146,1,1,1
CONVENTIONAL,FRUIT,TANGERINES,,per pound,12,2.49,2.49,2.49
CONVENTIONAL,VEGETABLES,ARTICHOKES,,each,1,2.5,2.5,2.5
CONVENTIONAL,VEGETABLES,BROCCOLI,,per pound,29,1.99,2.49,2.28
CONVENTIONAL,VEGETABLES,CUCUMBERS,,each,12,0.5,0.5,0.5
CONVENTIONAL,VEGETABLES,CUCUMBERS,,per pound,35,1.99,1.99,1.99
CONVENTIONAL,VEGETABLES,LETTUCE,,,,,,
CONVENTIONAL,VEGETABLES,LETTUCE,,,,,,
CONVENTIONAL,VEGETABLES,LETTUCE,,,,,,
CONVENTIONAL,VEGETABLES,MUSHROOMS,WHITE,8 oz packa,7,1.99,1.99,1.99
CONVENTIONAL,VEGETABLES,SQUASH,ACORN,per pound,19,0.99,0.99,0.99
CONVENTIONAL,VEGETABLES,SQUASH,BUTTERNUT,per pound,36,0.99,0.99,0.99
CONVENTIONAL,VEGETABLES,SQUASH,SPAGHETTI,per pound,19,0.99,0.99,0.99
CONVENTIONAL,VEGETABLES,SQUASH,ZUCCHINI,per pound,612,0.99,0.99,0.99
CONVENTIONAL,VEGETABLES,TOMATOES,,per pound,4,2.29,2.29,2.29
CONVENTIONAL,VEGETABLES,ONIONS,,,,,,
CONVENTIONAL,VEGETABLES,POTATOES,RUSSET,10 lb bag,78,1.97,1.97,1.97
CONVENTIONAL,VEGETABLES,POTATOES,RUSSET,5 lb bag,7,1.29,1.29,1.29
CONVENTIONAL,VEGETABLES,POTATOES,RUSSET,per pound,11,0.99,0.99,0.99
CONVENTIONAL,VEGETABLES,POTATOES,YELLOW TYPE,5 lb bag,17,2,2,2
ORGANIC,FRUITS,APPLES,BRAEBURN,2 lb bag,259,1.99,3.99,2.55
ORGANIC,FRUITS,APPLES,BRAEBURN,per pound,266,1.69,1.99,1.94
ORGANIC,FRUITS,APPLES,FUJI,2 lb bag,762,2.99,3.99,3.31
ORGANIC,FRUITS,APPLES,FUJI,3 lb bag,243,3.99,4.98,4.03
ORGANIC,FRUITS,APPLES,FUJI,per pound,776,0.5,2.99,1.89
ORGANIC,FRUITS,APPLES,GALA,2 lb bag,834,2.99,3.99,3.48
ORGANIC,FRUITS,APPLES,GALA,3 lb bag,441,2.99,5.99,3.91
ORGANIC,FRUITS,APPLES,GALA,per pound,1984,0.89,2.69,2.07
ORGANIC,FRUITS,APPLES,GOLDEN DELICIOUS,3 lb bag,7,3.99,3.99,3.99
ORGANIC,FRUITS,APPLES,GOLDEN DELICIOUS,per pound,76,1.99,2.49,2.38
ORGANIC,FRUITS,APPLES,GRANNY SMITH,2 lb bag,822,2.99,3.99,3.34
ORGANIC,FRUITS,APPLES,GRANNY SMITH,3 lb bag,286,3.99,5.99,4.21
ORGANIC,FRUITS,APPLES,GRANNY SMITH,per pound,132,1.69,1.99,1.89
ORGANIC,FRUITS,APPLES,HONEYCRISP,2 lb bag,302,2.99,3.99,3.6
ORGANIC,FRUITS,APPLES,HONEYCRISP,per pound,1047,0.99,3.99,2.69
ORGANIC,FRUITS,APPLES,PINK LADY/CRIPPS PINK,2 lb bag,6,3.99,3.99,3.99
ORGANIC,FRUITS,APPLES,RED DELICIOUS,2 lb bag,30,3.47,3.47,3.47
ORGANIC,FRUITS,APPLES,RED DELICIOUS,3 lb bag,7,3.99,3.99,3.99
ORGANIC,FRUITS,APPLES,RED DELICIOUS,per pound,154,1.99,2.49,2.17
ORGANIC,FRUITS,APPLES,,,,,,
ORGANIC,FRUITS,AVOCADOS,HASS,each,537,0.99,2.5,1.34
ORGANIC,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,each,109,1.25,2,1.99
ORGANIC,FRUITS,BANANAS,,per pound,2089,0.49,1.59,0.71
ORGANIC,FRUITS,BLUEBERRIES,,1 pint pac,1135,3.99,3.99,3.99
ORGANIC,FRUITS,BLUEBERRIES,,4.4 oz pac,210,2.5,2.5,2.5
ORGANIC,FRUITS,BLUEBERRIES,,6 oz packa,3416,2.99,4.99,3.72
ORGANIC,FRUITS,CLEMENTINES,,2 lb bag,26,4.99,4.99,4.99
ORGANIC,FRUITS,CRANBERRIES,,8 oz packa,18,3,3,3
ORGANIC,FRUITS,GRAPEFRUIT,RED,each,22,1.5,1.5,1.5
ORGANIC,FRUITS,GRAPEFRUIT,RED,per pound,11,1.49,1.49,1.49
ORGANIC,FRUITS,GRAPES,BLACK SEEDLESS,per pound,113,2.99,2.99,2.99
